title,artist,topGenre,year,addedSpotify,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Young & Alive - Bazzi vs. Haywyre Remix,Bazzi vs.,brostep,2020,2020‑06‑25,113,82,72,-5,17,84,168,3,8,52
All They Wanna Be - Denis First & Reznikov Remix,Madison Mars,big room,2018,2020‑06‑25,126,89,62,-3,13,70,176,10,8,52
Way We Used 2,Showtek,big room,2019,2020‑06‑25,124,80,72,-5,16,75,163,31,4,52
Get Happy (feat. Mat Zo),The Knocks,alternative dance,2020,2020‑06‑25,122,94,67,-4,68,53,198,0,8,52
Smiley Face,Duck Sauce,disco house,2020,2020‑06‑25,124,83,79,-4,91,71,210,1,6,52
Drift,Tom Staar,big room,2017,2020‑06‑25,126,97,50,-4,7,6,208,1,4,52
Ready For Love,Klingande,deep house,2019,2020‑06‑25,124,88,63,-5,78,44,178,0,16,52
Sun Is Shining,Lost Frequencies,belgian edm,2019,2020‑06‑25,122,85,62,-7,11,21,189,1,3,52
The City (feat. Quinn XCII) - Party Pupils Remix,Louis The Child,edm,2019,2020‑06‑25,114,56,83,-6,8,81,179,5,21,51
Play (with Years & Years),Jax Jones,dance pop,2019,2020‑06‑25,125,82,76,-7,27,61,186,1,4,51
Housology,Dombresky,bass house,2020,2020‑06‑25,126,98,55,-6,10,77,202,1,4,51
Stop,RetroVision,big room,2019,2020‑06‑25,126,94,62,-3,38,51,157,3,16,51
Forever,Justin Mylo,big room,2020,2020‑06‑25,128,90,59,-7,19,21,186,1,12,51
Higher,Third Party,big room,2019,2020‑06‑25,127,88,47,-6,37,24,288,1,5,51
Shivohum,Tritonal,big room,2019,2020‑06‑25,128,87,49,-4,21,5,272,1,4,51
Punga,Klingande,deep house,2019,2020‑06‑25,128,39,68,-7,7,30,309,17,3,51
Adrian,The Mary Nixons,alternative dance,2017,2020‑06‑25,113,87,70,-4,17,32,212,4,6,50
Winnebago (feat. Quinn XCII & Daniel Wilson) - Alphalove Remix,Gryffin,dance pop,2018,2020‑06‑25,118,88,60,-5,32,76,207,11,4,49
Trust The Process - Boston Bun Remix,Dombresky,bass house,2020,2020‑06‑25,126,98,61,-6,23,83,286,1,5,49
Nobody Does It Better,Michael Calfan,big room,2016,2020‑06‑25,123,84,68,-6,8,57,148,0,3,49
Praise You 2009,Fatboy Slim,big beat,2009,2020‑06‑25,126,88,63,-6,6,55,168,0,4,49
Turn Your Love Around,Cedric Gervais,big room,2019,2020‑06‑25,124,95,63,-4,79,65,162,6,7,48
Good Things - Disco Edit,Cedric Gervais,big room,2019,2020‑06‑25,122,87,64,-3,31,48,177,0,5,48
House Work (ft. Mike Dunn & MNEK),Jax Jones,dance pop,2019,2020‑06‑25,124,95,76,-5,5,73,157,25,7,48
Get to Steppin,Duck Sauce,disco house,2020,2020‑06‑25,123,94,83,-4,7,35,213,3,12,48
Golden Days,Steve Aoki,big room,2018,2020‑06‑25,128,87,52,-4,53,28,204,0,6,47
Mine Is Mine - Club Mix,Block & Crown,deep groove house,2019,2020‑06‑25,124,96,79,-4,3,66,271,2,18,46
All About Disco - Radio Edit,Robbie Rivera,big room,2018,2020‑06‑25,122,95,75,-7,35,76,207,1,10,46
Air for Life - Radio Edit,EDX,big room,2014,2020‑06‑25,128,92,63,-3,38,40,208,1,4,46
No Eyes On Me - Sondr Remix,Justin Caruso,deep tropical house,2020,2020‑06‑25,121,94,59,-6,33,35,172,0,5,44
Milo,Dave Winnel,edm,2020,2020‑06‑25,124,88,59,-7,40,37,222,5,3,43
Prelude,Above & Beyond,edm,2011,2020‑06‑25,132,78,56,-7,12,23,345,0,4,38
